step,coral_val_wer,fleurs_val_wer,lillelyd_val_wer
2.0,,,0.4086522459983825
3.0,,,0.4086522459983825
4.0,,,0.4086522459983825
5.0,,,0.4086522459983825
6.0,,,0.4086522459983825
7.0,,,0.4069780707359314
8.0,,,0.4069780707359314
9.0,,,0.4069780707359314
10.0,,,0.4069780707359314
11.0,,,0.4069780707359314
12.0,,,0.406859815120697
13.0,,,0.406859815120697
14.0,,,0.406859815120697
15.0,,,0.406859815120697
16.0,,,0.406859815120697
17.0,,,0.3373058140277862
18.0,,,0.3373058140277862
19.0,,,0.3373058140277862
20.0,,,0.3373058140277862
21.0,,,0.3373058140277862
22.0,,,0.3597399294376373
23.0,,,0.3597399294376373
24.0,,,0.3597399294376373
25.0,,,0.3597399294376373
26.0,0.1599685698747635,0.1064201816916465,0.3597399294376373
27.0,,,0.3472145497798919
28.0,,,0.3472145497798919
29.0,,,0.3472145497798919
30.0,,,0.3472145497798919
31.0,,,0.3472145497798919
32.0,,,0.3676728308200836
33.0,,,0.3676728308200836
34.0,,,0.3676728308200836
35.0,,,0.3676728308200836
36.0,,,0.3676728308200836
37.0,,,0.3507790565490722
38.0,,,0.3507790565490722
39.0,,,0.3507790565490722
40.0,,,0.3507790565490722
41.0,,,0.3507790565490722
42.0,,,0.3736491501331329
43.0,,,0.3736491501331329
44.0,,,0.3736491501331329
45.0,,,0.3736491501331329
46.0,,,0.3736491501331329
47.0,,,0.269841581583023
48.0,,,0.269841581583023
49.0,,,0.269841581583023
50.0,,,0.269841581583023
51.0,,,0.269841581583023
52.0,,,0.3123267292976379
53.0,0.1659224331378936,0.1161628812551498,0.3123267292976379
54.0,,,0.3123267292976379
55.0,,,0.3123267292976379
56.0,,,0.3123267292976379
57.0,,,0.3097980916500091
58.0,,,0.3097980916500091
59.0,,,0.3097980916500091
60.0,,,0.3097980916500091
61.0,,,0.3097980916500091
62.0,,,0.3206688463687897
63.0,,,0.3206688463687897
64.0,,,0.3206688463687897
65.0,,,0.3206688463687897
66.0,,,0.3206688463687897
67.0,,,0.257330447435379
68.0,,,0.257330447435379
69.0,,,0.257330447435379
70.0,,,0.257330447435379
71.0,,,0.257330447435379
72.0,,,0.2841693162918091
73.0,,,0.2841693162918091
74.0,,,0.2841693162918091
75.0,,,0.2841693162918091
76.0,,,0.2841693162918091
77.0,,,0.2877839505672455
78.0,,,0.2877839505672455
79.0,,,0.2877839505672455
80.0,0.1673282086849212,0.1182862818241119,0.2877839505672455
81.0,,,0.2877839505672455
82.0,,,0.2535900771617889
83.0,,,0.2535900771617889
84.0,,,0.2535900771617889
85.0,,,0.2535900771617889
86.0,,,0.2535900771617889
87.0,,,0.2247629910707473
88.0,,,0.2247629910707473
89.0,,,0.2247629910707473
90.0,,,0.2247629910707473
91.0,,,0.2247629910707473
92.0,,,0.2699529230594635
93.0,,,0.2699529230594635
94.0,,,0.2699529230594635
95.0,,,0.2699529230594635
96.0,,,0.2699529230594635
97.0,,,0.2211362421512603
98.0,,,0.2211362421512603
99.0,,,0.2211362421512603
100.0,,,0.2211362421512603
101.0,,,0.2211362421512603
102.0,,,0.270596444606781
103.0,,,0.270596444606781
104.0,,,0.270596444606781
105.0,,,0.270596444606781
106.0,,,0.270596444606781
107.0,0.1706772446632385,0.1244066953659057,0.2231247276067733
108.0,,,0.2231247276067733
109.0,,,0.2231247276067733
110.0,,,0.2231247276067733
111.0,,,0.2231247276067733
112.0,,,0.1806216686964035
113.0,,,0.1806216686964035
114.0,,,0.1806216686964035
115.0,,,0.1806216686964035
116.0,,,0.1806216686964035
117.0,,,0.2134262919425964
118.0,,,0.2134262919425964
119.0,,,0.2134262919425964
120.0,,,0.2134262919425964
121.0,,,0.2134262919425964
122.0,,,0.247734323143959
123.0,,,0.247734323143959
124.0,,,0.247734323143959
125.0,,,0.247734323143959
126.0,,,0.247734323143959
127.0,,,0.2060621976852417
128.0,,,0.2060621976852417
129.0,,,0.2060621976852417
130.0,,,0.2060621976852417
131.0,,,0.2060621976852417
132.0,,,0.1580480486154556
133.0,,,0.1580480486154556
134.0,0.1677416712045669,0.1196602582931518,0.1580480486154556
135.0,,,0.1580480486154556
136.0,,,0.1580480486154556
137.0,,,0.1431896686553955
138.0,,,0.1431896686553955
139.0,,,0.1431896686553955
140.0,,,0.1431896686553955
141.0,,,0.1431896686553955
142.0,,,0.1903006434440612
143.0,,,0.1903006434440612
144.0,,,0.1903006434440612
145.0,,,0.1903006434440612
146.0,,,0.1903006434440612
147.0,,,0.1101897582411766
148.0,,,0.1101897582411766
149.0,,,0.1101897582411766
150.0,,,0.1101897582411766
151.0,,,0.1101897582411766
152.0,,,0.236711785197258
153.0,,,0.236711785197258
154.0,,,0.236711785197258
155.0,,,0.236711785197258
156.0,,,0.236711785197258
157.0,,,0.1708619594573974
158.0,,,0.1708619594573974
159.0,,,0.1708619594573974
160.0,,,0.1708619594573974
161.0,0.1693955212831497,0.1195353493094444,0.1708619594573974
162.0,,,0.1513972282409668
163.0,,,0.1513972282409668
164.0,,,0.1513972282409668
165.0,,,0.1513972282409668
166.0,,,0.1513972282409668
167.0,,,0.224692702293396
168.0,,,0.224692702293396
169.0,,,0.224692702293396
170.0,,,0.224692702293396
171.0,,,0.224692702293396
172.0,,,0.143576294183731
173.0,,,0.143576294183731
174.0,,,0.143576294183731
