"trainer/global_step","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer__MIN","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer__MAX","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step__MIN","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step__MAX"
"121","0.007017544005066156","0.007017544005066156","0.007017544005066156","737","737","737"
"122","0.11693548411130905","0.11693548411130905","0.11693548411130905","738","738","738"
"123","0.04135338217020035","0.04135338217020035","0.04135338217020035","739","739","739"
"124","0.060283686965703964","0.060283686965703964","0.060283686965703964","740","740","740"
"125","0.029411764815449715","0.029411764815449715","0.029411764815449715","741","741","741"
"126","0.14462809264659882","0.14462809264659882","0.14462809264659882","742","742","742"
"127","0.04912280663847923","0.04912280663847923","0.04912280663847923","743","743","743"
"128","0.07394365966320038","0.07394365966320038","0.07394365966320038","744","744","744"
"129","0.05098039284348488","0.05098039284348488","0.05098039284348488","745","745","745"
"130","0.16988417506217957","0.16988417506217957","0.16988417506217957","746","746","746"
"131","0.05673758685588837","0.05673758685588837","0.05673758685588837","747","747","747"
"132","0.10469313710927963","0.10469313710927963","0.10469313710927963","748","748","748"
"133","0.06147541105747223","0.06147541105747223","0.06147541105747223","749","749","749"
"134","0.0788530483841896","0.0788530483841896","0.0788530483841896","750","750","750"
"135","0.0742049440741539","0.0742049440741539","0.0742049440741539","751","751","751"
"136","0.06870228797197342","0.06870228797197342","0.06870228797197342","752","752","752"
"137","0.0873015895485878","0.0873015895485878","0.0873015895485878","753","753","753"
"138","0.05653710290789604","0.05653710290789604","0.05653710290789604","754","754","754"
"139","0.031578946858644485","0.031578946858644485","0.031578946858644485","909","909","909"
"140","0.0714285746216774","0.0714285746216774","0.0714285746216774","910","910","910"
"141","0.08480565249919891","0.08480565249919891","0.08480565249919891","911","911","911"
"142","0.0854092538356781","0.0854092538356781","0.0854092538356781","912","912","912"
"143","0.15040650963783264","0.15040650963783264","0.15040650963783264","913","913","913"
"144","0.21611721813678741","0.21611721813678741","0.21611721813678741","914","914","914"
"145","0.12765957415103912","0.12765957415103912","0.12765957415103912","915","915","915"
"146","0.07865168899297714","0.07865168899297714","0.07865168899297714","916","916","916"
"147","0.036437246948480606","0.036437246948480606","0.036437246948480606","917","917","917"
"148","0.10915493220090866","0.10915493220090866","0.10915493220090866","918","918","918"
"149","0.024561403319239616","0.024561403319239616","0.024561403319239616","919","919","919"
"150","0.10483870655298233","0.10483870655298233","0.10483870655298233","920","920","920"
"151","0.007518797181546688","0.007518797181546688","0.007518797181546688","921","921","921"
"152","0.03191489353775978","0.03191489353775978","0.03191489353775978","922","922","922"
"153","0.018382353708148003","0.018382353708148003","0.018382353708148003","923","923","923"
"154","0.06198346987366676","0.06198346987366676","0.06198346987366676","924","924","924"
"155","0.04210526496171951","0.04210526496171951","0.04210526496171951","925","925","925"
"156","0.06338027864694595","0.06338027864694595","0.06338027864694595","926","926","926"
"157","0.07450980693101883","0.07450980693101883","0.07450980693101883","927","927","927"
"158","0.12741312384605408","0.12741312384605408","0.12741312384605408","928","928","928"
"159","0.03546099364757538","0.03546099364757538","0.03546099364757538","929","929","929"
"160","0.018050542101264","0.018050542101264","0.018050542101264","930","930","930"
"161","0.04098360612988472","0.04098360612988472","0.04098360612988472","931","931","931"
"162","0.00716845877468586","0.00716845877468586","0.00716845877468586","932","932","932"
"163","0.04593639448285103","0.04593639448285103","0.04593639448285103","933","933","933"
"164","0.06106870248913765","0.06106870248913765","0.06106870248913765","934","934","934"
"165","0.01984127052128315","0.01984127052128315","0.01984127052128315","935","935","935"
"166","0.0494699664413929","0.0494699664413929","0.0494699664413929","936","936","936"
"167","0.010526316240429878","0.010526316240429878","0.010526316240429878","1091","1091","1091"
"168","0.0317460335791111","0.0317460335791111","0.0317460335791111","1092","1092","1092"
"169","0.05300353467464447","0.05300353467464447","0.05300353467464447","1093","1093","1093"
"170","0.07117437571287155","0.07117437571287155","0.07117437571287155","1094","1094","1094"
"171","0.08943089097738266","0.08943089097738266","0.08943089097738266","1095","1095","1095"
"172","0.10989011079072952","0.10989011079072952","0.10989011079072952","1096","1096","1096"
"173","0.042553190141916275","0.042553190141916275","0.042553190141916275","1097","1097","1097"
"174","0.02247191034257412","0.02247191034257412","0.02247191034257412","1098","1098","1098"
"175","0.036437246948480606","0.036437246948480606","0.036437246948480606","1099","1099","1099"
"176","0.09507042169570923","0.09507042169570923","0.09507042169570923","1100","1100","1100"
"177","0","0","0","1101","1101","1101"
"178","0.03629032149910927","0.03629032149910927","0.03629032149910927","1102","1102","1102"
"179","0.03759398311376572","0.03759398311376572","0.03759398311376572","1103","1103","1103"
"180","0.010638297535479069","0.010638297535479069","0.010638297535479069","1104","1104","1104"
"181","0.018382353708148003","0.018382353708148003","0.018382353708148003","1105","1105","1105"
"182","0.028925620019435883","0.028925620019435883","0.028925620019435883","1106","1106","1106"
"183","0.003508772002533078","0.003508772002533078","0.003508772002533078","1107","1107","1107"
"184","0.07746478915214539","0.07746478915214539","0.07746478915214539","1108","1108","1108"
"185","0.03529411926865578","0.03529411926865578","0.03529411926865578","1109","1109","1109"
"186","0.07335907220840454","0.07335907220840454","0.07335907220840454","1110","1110","1110"
"187","0.042553190141916275","0.042553190141916275","0.042553190141916275","1111","1111","1111"
"188","0.04693140834569931","0.04693140834569931","0.04693140834569931","1112","1112","1112"
"189","0.0450819656252861","0.0450819656252861","0.0450819656252861","1113","1113","1113"
"190","0.00716845877468586","0.00716845877468586","0.00716845877468586","1114","1114","1114"
"191","0.04593639448285103","0.04593639448285103","0.04593639448285103","1115","1115","1115"
"192","0.03435114398598671","0.03435114398598671","0.03435114398598671","1116","1116","1116"
"193","0.0555555559694767","0.0555555559694767","0.0555555559694767","1117","1117","1117"
"194","0.05653710290789604","0.05653710290789604","0.05653710290789604","1118","1118","1118"
"195","0","0","0","1273","1273","1273"
"196","0.0396825410425663","0.0396825410425663","0.0396825410425663","1274","1274","1274"
"197","0.04593639448285103","0.04593639448285103","0.04593639448285103","1275","1275","1275"
"198","0.02846975065767765","0.02846975065767765","0.02846975065767765","1276","1276","1276"
"199","0.12195122241973877","0.12195122241973877","0.12195122241973877","1277","1277","1277"
"200","0.09157509356737137","0.09157509356737137","0.09157509356737137","1278","1278","1278"
